Velocity [m/s],Normal Force [N],Ax [m/s^2],Abx [m/s^2],Gear,RPM,Torque [Nm],Drivetrain Info,Suspension Info,Aero Info,Physics Info
0,2919.456,0,14.2115382475661,1,2000,21.69308717,2.75,60,0.24,1.293
0.175225373708411,2919.45957301652,-2.8470663618462e-05,14.2116125818805,1,2500,25.76054102,2,154,0.55,9.81
0.350450747416823,2919.47029206608,-0.000113882654473848,14.2118355848239,1,3000,28.47217691,1.67,13.6,0.75,287.6
0.525676121125234,2919.48815714867,-0.000256235972566158,14.2122072563963,1,3500,29.82799486,1.444,16,10,0
0.700901494833645,2919.51316826431,-0.000455530617895393,14.2127275965975,1,4000,29.82799486,1.304,1.4,0,0
0.876126868542057,2919.54532541298,-0.000711766590461551,14.2133966054277,1,4500,23.04890512,1.208,6.6,0,0
1.05135224225047,2919.58462859469,-0.00102494389026463,14.2142142828868,1,5000,18.98145128,2.11,0.79,0,0
1.22657761595888,2919.63107780944,-0.00139506251730464,14.2151806289749,1,5500,27.11635897,3.85,2,0,0
1.40180298966729,2919.68467305723,-0.00182212247158157,14.2162956436919,1,6000,35.25126666,60,2000,0,0
1.5770283633757,2919.74541433806,-0.00230612375309543,14.2175593270378,1,6500,36.6070846,0.08,0.5,0,0
1.75225373708411,2919.81330165193,-0.0028470663618462,14.2189716790126,1,7000,39.3187205,0.025,0,0,0
1.92747911079252,2919.88833499883,-0.00344495029783391,14.2205326996164,1,7500,42.0303564,0,0,0,0
2.10270448450094,2919.97051437878,-0.00409977556105853,14.2222423888491,1,8000,46.09781024,0,0,0,0
2.27792985820935,2920.05983979176,-0.00481154215152009,14.2241007467108,2,8500,51.52108204,0,0,0,0
2.45315523191776,2920.15631123778,-0.00558025006921856,14.2261077732013,2,9000,52.87689998,0,0,0,0
2.62838060562617,2920.25992871684,-0.00640589931415396,14.2282634683208,1,9500,51.52108204,0,0,0,0
2.80360597933458,2920.37069222893,-0.00728848988632628,14.2305678320693,1,10000,50.16526409,0,0,0,0
2.97883135304299,2920.48860177407,-0.00822802178573553,14.2330208644466,1,10500,48.80944614,0,0,0,0
3.1540567267514,2920.61365735225,-0.0092244950123817,14.2356225654529,1,11000,47.45362819,0,0,0,0
3.32928210045982,2920.74585896346,-0.0102779095662648,14.2383729350882,1,11500,44.74199229,0,0,0,0
3.50450747416823,2920.88520660771,-0.0113882654473848,14.2412719733523,1,12000,43.38617435,0,0,0,0
3.67973284787664,2921.031700285,-0.0125555626557418,14.2443196802454,1,12500,42.0303564,0,0,0,0
3.85495822158505,2921.18533999533,-0.0137798011913356,14.2475160557674,1,13000,40.67453845,0,0,0,0
4.03018359529346,2921.3461257387,-0.0150609810541664,14.2508610999184,1,13500,39.3187205,0,0,0,0
4.20540896900187,2921.5140575151,-0.0163991022442341,14.2543548126983,1,14000,37.96290255,0,0,0,0
4.38063434271028,2921.68913532455,-0.0177941647615388,14.2579971941071,1,14500,36.6070846,0,0,0,0
4.5558597164187,2921.87135916703,-0.0192461686060803,14.2617882441449,1,15000,36.1214656,0,0,0,0
4.73108509012711,2922.06072904255,-0.0207551137778588,14.2657279628115,1,15500,35.4193789,0,0,0,0
4.90631046383552,2922.25724495111,-0.0223210002768742,14.2698163501071,1,16000,35.0174289,0,0,0,0
5.08153583754393,2922.46090689271,-0.0239438281031266,14.2740534060317,1,0,0,0,0,0,0
5.25676121125234,2922.67171486735,-0.0256235972566158,14.2784391305852,1,0,0,0,0,0,0
5.43198658496075,2922.88966887502,-0.027360307737342,14.2829735237676,1,0,0,0,0,0,0
5.60721195866916,2923.11476891574,-0.0291539595453051,14.2876565855789,1,0,0,0,0,0,0
5.78243733237757,2923.34701498949,-0.0310045526805052,14.2924883160192,1,0,0,0,0,0,0
5.95766270608599,2923.58640709628,-0.0329120871429421,14.2974687150884,1,0,0,0,0,0,0
6.1328880797944,2923.83294523611,-0.034876562932616,14.3025977827865,1,0,0,0,0,0,0
6.30811345350281,2924.08662940898,-0.0368979800495268,14.3078755191136,1,0,0,0,0,0,0
6.48333882721122,2924.34745961489,-0.0389763384936745,14.3133019240696,1,0,0,0,0,0,0
6.65856420091963,2924.61543585383,-0.0411116382650592,14.3188769976545,1,0,0,0,0,0,0
6.83378957462804,2924.89055812582,-0.0433038793636808,14.3246007398683,1,0,0,0,0,0,0
7.00901494833645,2925.17282643084,-0.0455530617895393,14.3304731507111,1,0,0,0,0,0,0
7.18424032204487,2925.4622407689,-0.0478591855426347,14.3364942301828,1,0,0,0,0,0,0
7.35946569575328,2925.75880114,-0.050222250622967,14.3426639782835,1,0,0,0,0,0,0
7.53469106946169,2926.06250754414,-0.0526422570305363,14.3489823950131,1,0,0,0,0,0,0
7.7099164431701,2926.37335998131,-0.0551192047653425,14.3554494803716,2,0,0,0,0,0,0
7.88514181687851,2926.69135845153,-0.0576530938273856,14.362065234359,2,0,0,0,0,0,0
8.06036719058692,2927.01650295478,-0.0602439242166657,14.3688296569754,2,0,0,0,0,0,0
8.23559256429533,2927.34879349108,-0.0628916959331826,14.3757427482207,2,0,0,0,0,0,0
8.41081793800375,2927.68823006041,-0.0655964089769366,14.3828045080949,2,0,0,0,0,0,0
8.58604331171216,2928.03481266278,-0.0683580633479274,14.3900149365981,2,0,0,0,0,0,0
8.76126868542057,2928.38854129819,-0.0711766590461551,14.3973740337302,2,0,0,0,0,0,0
8.93649405912898,2928.74941596663,-0.0740521960716198,14.4048817994912,2,0,0,0,0,0,0
9.11171943283739,2929.11743666812,-0.0769846744243214,14.4125382338812,2,0,0,0,0,0,0
9.2869448065458,2929.49260340264,-0.0799740941042599,14.4203433369001,2,0,0,0,0,0,0
9.46217018025421,2929.8749161702,-0.0830204551114353,14.4282971085479,2,0,0,0,0,0,0
9.63739555396262,2930.2643749708,-0.0861237574458477,14.4363995488247,2,0,0,0,0,0,0
9.81262092767104,2930.66097980444,-0.089284001107497,14.4446506577304,2,0,0,0,0,0,0
9.98784630137945,2931.06473067112,-0.0925011860963832,14.453050435265,2,0,0,0,0,0,0
10.1630716750879,2931.47562757084,-0.0957753124125063,14.4615988814285,2,0,0,0,0,0,0
10.3382970487963,2931.89367050359,-0.0991063800558664,14.470295996221,2,0,0,0,0,0,0
10.5135224225047,2932.31885946939,-0.102494389026463,14.4791417796424,3,0,0,0,0,0,0
10.6887477962131,2932.75119446822,-0.105939339324297,14.4881362316928,3,0,0,0,0,0,0
10.8639731699215,2933.19067550009,-0.109441230949368,14.497279352372,3,0,0,0,0,0,0
11.0391985436299,2933.637302565,-0.113000063901676,14.5065711416803,3,0,0,0,0,0,0
11.2144239173383,2934.09107566295,-0.116615838181221,14.5160115996174,3,0,0,0,0,0,0
11.3896492910467,2934.55199479393,-0.120288553788002,14.5256007261835,3,0,0,0,0,0,0
11.5648746647551,2935.02005995796,-0.124018210722021,14.5353385213785,3,0,0,0,0,0,0
11.7401000384636,2935.49527115502,-0.127804808983276,14.5452249852024,3,0,0,0,0,0,0
11.915325412172,2935.97762838512,-0.131648348571769,14.5552601176553,3,0,0,0,0,0,0
12.0905507858804,2936.46713164826,-0.135548829487498,14.5654439187371,3,0,0,0,0,0,0
12.2657761595888,2936.96378094444,-0.139506251730464,14.5757763884478,3,0,0,0,0,0,0
12.4410015332972,2937.46757627366,-0.143520615300667,14.5862575267874,3,0,0,0,0,0,0
12.6162269070056,2937.97851763592,-0.147591920198107,14.596887333756,4,0,0,0,0,0,0
12.791452280714,2938.49660503121,-0.151720166422784,14.6076658093536,4,0,0,0,0,0,0
12.9666776544224,2939.02183845955,-0.155905353974698,14.61859295358,4,0,0,0,0,0,0
13.1419030281309,2939.55421792092,-0.160147482853849,14.6296687664354,4,0,0,0,0,0,0
13.3171284018393,2940.09374341533,-0.164446553060237,14.6408932479197,4,0,0,0,0,0,0
13.4923537755477,2940.64041494278,-0.168802564593861,14.6522663980329,4,0,0,0,0,0,0
13.6675791492561,2941.19423250326,-0.173215517454723,14.6637882167751,4,0,0,0,0,0,0
13.8428045229645,2941.75519609679,-0.177685411642822,14.6754587041462,4,0,0,0,0,0,0
14.0180298966729,2942.32330572335,-0.182212247158157,14.6872778601463,4,0,0,0,0,0,0
14.1932552703813,2942.89856138296,-0.186796024000729,14.6992456847752,4,0,0,0,0,0,0
14.3684806440897,2943.4809630756,-0.191436742170539,14.7113621780331,4,0,0,0,0,0,0
14.5437060177981,2944.07051080128,-0.196134401667585,14.72362733992,5,0,0,0,0,0,0
14.7189313915066,2944.66720456,-0.200889002491868,14.7360411704357,5,0,0,0,0,0,0
14.894156765215,2945.27104435176,-0.205700544643388,14.7486036695804,5,0,0,0,0,0,0
15.0693821389234,2945.88203017655,-0.210569028122145,14.7613148373541,5,0,0,0,0,0,0
15.2446075126318,2946.50016203439,-0.215494452928139,14.7741746737566,5,0,0,0,0,0,0
15.4198328863402,2947.12543992526,-0.22047681906137,14.7871831787881,5,0,0,0,0,0,0
15.5950582600486,2947.75786384917,-0.225516126521838,14.8003403524485,5,0,0,0,0,0,0
15.770283633757,2948.39743380612,-0.230612375309543,14.8136461947379,5,0,0,0,0,0,0
15.9455090074654,2949.04414979611,-0.235765565424484,14.8271007056562,5,0,0,0,0,0,0
16.1207343811738,2949.69801181914,-0.240975696866663,14.8407038852034,6,0,0,0,0,0,0
16.2959597548823,2950.3590198752,-0.246242769636078,14.8544557333795,6,0,0,0,0,0,0
16.4711851285907,2951.02717396431,-0.251566783732731,14.8683562501846,6,0,0,0,0,0,0
16.6464105022991,2951.70247408645,-0.25694773915662,14.8824054356186,6,0,0,0,0,0,0
16.8216358760075,2952.38492024163,-0.262385635907746,14.8966032896816,6,0,0,0,0,0,0
16.9968612497159,2953.07451242985,-0.267880473986109,14.9109498123734,6,0,0,0,0,0,0
17.1720866234243,2953.77125065111,-0.273432253391709,14.9254450036942,6,0,0,0,0,0,0
17.3473119971327,2954.47513490541,-0.279040974124546,14.940088863644,6,0,0,0,0,0,0
